"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"links";"links";1;"";;;
2;"LQFP-32";"LQFP-32-1EP_5x5mm_Pitch0.5mm";1;"LQFP-32-1EP_5x5mm_Pitch0.5mm";;;
3;"REF**";"Symbol_OSHW-Logo_CopperTop";1;"Symbol_OSHW-Logo_CopperTop";;;
4;"DIP-16";"DIP-16_W7.62mm";1;"DIP-16_W7.62mm";;;
5;"SOIC-16W";"SOIC-16W_7.5x10.3mm_Pitch1.27mm";1;"SOIC-16W_7.5x10.3mm_Pitch1.27mm";;;
6;"4x4 mm";"QFN-16-1EP_4x4mm_Pitch0.65mm";1;"QFN-16-1EP_4x4mm_Pitch0.65mm";;;
7;"3x3 mm";"QFN-16-1EP_3x3mm_Pitch0.5mm";1;"QFN-16-1EP_3x3mm_Pitch0.5mm";;;
8;"SOIC-16N";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"SOIC-16_3.9x9.9mm_Pitch1.27mm";;;
9;"0402 (1005)";"R_0402";1;"R_0402";;;
10;"0603 (1608)";"R_0603";1;"R_0603";;;
11;"0201 (0603)";"R_0201";1;"R_0201";;;
12;"0805 (2012)";"R_0805";1;"R_0805";;;
13;"1206 (3216)";"R_1206";1;"R_1206";;;
14;"1210 (3225)";"R_1210";1;"R_1210";;;
15;"2512 (6332)";"R_2512";1;"R_2512";;;
16;""A" 3216";"TantalC_SizeA_EIA-3216_Reflow";1;"TantalC_SizeA_EIA-3216_Reflow";;;
17;""B" 3528";"TantalC_SizeB_EIA-3528_Reflow";1;"TantalC_SizeB_EIA-3528_Reflow";;;
18;""C" 6032";"TantalC_SizeC_EIA-6032_Reflow";1;"TantalC_SizeC_EIA-6032_Reflow";;;
19;"SOT-223";"SOT-223";1;"SOT-223";;;
20;"SOT-23";"SOT-23";1;"SOT-23";;;
21;"-5";"SOT-23-5";1;"SOT-23-5";;;
22;"-6";"SOT-23-6";1;"SOT-23-6";;;
23;""D" 7343";"TantalC_SizeD_EIA-7343_Reflow";1;"TantalC_SizeD_EIA-7343_Reflow";;;
24;""E" 7360";"TantalC_SizeE_EIA-7360_Reflow";1;"TantalC_SizeE_EIA-7360_Reflow";;;
25;"4 X 0402 RPACK";"R_Array_Convex_4x0402";1;"R_Array_Convex_4x0402";;;
26;"SC-70";"SC-70";1;"SC-70";;;
27;"-5";"SC-70-5";1;"SC-70-5";;;
28;"-6";"SC-70-6";1;"SC-70-6";;;
29;"SMA";"SMA_Standard";1;"SMA_Standard";;;
30;"SMB";"SMB_Standard";1;"SMB_Standard";;;
31;"TQFP-32";"TQFP-32_7x7mm_Pitch0.8mm";1;"TQFP-32_7x7mm_Pitch0.8mm";;;
32;"TSSOP-16";"TSSOP-16-1EP_4.4x5mm_Pitch0.65mm";1;"TSSOP-16-1EP_4.4x5mm_Pitch0.65mm";;;
33;"REF***";"CE-Logo_8.5x6mm_SilkScreen";1;"CE-Logo_8.5x6mm_SilkScreen";;;
34;"REF**";"Symbol_ESD-Logo_CopperTop";1;"Symbol_ESD-Logo_CopperTop";;;
35;"REF***";"WEEE-Logo_5.6x8mm_SilkScreen";1;"WEEE-Logo_5.6x8mm_SilkScreen";;;
36;"MiniMELF";"MiniMELF_Standard";1;"MiniMELF_Standard";;;
37;"5x5 mm";"DFN-16-1EP_5x5mm_Pitch0.5mm";1;"DFN-16-1EP_5x5mm_Pitch0.5mm";;;
38;"3x4 mm";"DFN-16-1EP_3x4mm_Pitch0.45mm";1;"DFN-16-1EP_3x4mm_Pitch0.45mm";;;
39;"REF**";"Symbol_CC-Attribution_CopperTop_Small";1;"Symbol_CC-Attribution_CopperTop_Small";;;
40;"REF**";"Symbol_CC-ShareAlike_CopperTop_Small";1;"Symbol_CC-ShareAlike_CopperTop_Small";;;
41;"REF**";"Symbol_CreativeCommons_CopperTop_Type2_Small";1;"Symbol_CreativeCommons_CopperTop_Type2_Small";;;
42;"REF**";"Symbol_CC-Noncommercial_CopperTop_Small";1;"Symbol_CC-Noncommercial_CopperTop_Small";;;
43;"REF**,REF**";"Fiducial_1mm_Dia_2.54mm_Outer_CopperBottom";2;"Fiducial_1mm_Dia_2.54mm_Outer_CopperBottom";;;
44;"BGA-49";"BGA-49_CSBGA-49_0.65mm";1;"BGA_49";;;
45;"QFN-32";"QFN-32-1EP_4x4mm_Pitch0.4mm";1;"QFN-32-1EP_4x4mm_Pitch0.4mm";;;
46;"BGA-49";"BGA_49-0.8mm-7x7mm";1;"BGA_49";;;
